user_id,age_group,gender,city,income_level,meal_type,recipe_name,ingredient_category,purchase_frequency,avg_spend_per_month,review_text,rating,preferred_platform,review_text_clean,sentiment_score,sentiment_label
U1021,18-24,Other,Brampton,Medium,Breakfast,Dal Makhani,Vegetables,1,116.65,Delicious and quick to make!,1.2,Instagram,delicious quick make,0.6114,Positive
U1022,45-54,Other,Brampton,High,Breakfast,Biryani,Spices,6,134.32,"Great recipe, easy to follow.",1.5,Instagram,great recipe easy follow,0.7906,Positive
U1023,25-34,Female,Markham,Medium,Snack,Chole Bhature,Vegetables,7,66.33,Would definitely try again!,1.4,YouTube,would definitely try,0.4574,Positive
U1024,65+,Other,Markham,Medium,Lunch,Chole Bhature,Vegetables,9,88.97,Loved the flavor!,1.2,YouTube,loved flavor,0.636,Positive
U1025,55-64,Other,Mississauga,Low,Breakfast,Rajma Chawal,Vegetables,8,161.4,Would definitely try again!,2.9,Walmart Online,would definitely try,0.4574,Positive
U1026,45-54,Female,Ottawa,Low,Lunch,Butter Chicken,Vegetables,10,120.02,Tastes just like home cooking.,2.3,Walmart Online,tastes like home cooking,0.3612,Positive
U1027,18-24,Other,Ottawa,Medium,Breakfast,Butter Chicken,Vegetables,3,133.6,Too spicy for me.,4.7,Walmart Online,spicy,0.0,Negative
U1028,18-24,Other,Markham,Medium,Lunch,Paneer Tikka,Grains,9,98.14,Loved the flavor!,1.4,Pinterest,loved flavor,0.636,Positive
U1029,35-44,Other,Toronto,Medium,Lunch,Chole Bhature,Vegetables,1,120.78,Too spicy for me.,4.7,Facebook,spicy,0.0,Negative
U1030,35-44,Female,Hamilton,Low,Breakfast,Palak Paneer,Spices,6,27.92,Tastes just like home cooking.,1.3,Pinterest,tastes like home cooking,0.3612,Positive
U1031,25-34,Other,Brampton,High,Snack,Rajma Chawal,Vegetables,10,153.84,Loved the flavor!,3.5,Pinterest,loved flavor,0.636,Positive
U1032,45-54,Female,Toronto,Medium,Lunch,Tandoori Chicken,Protein,2,192.32,"Average taste, could be better.",2.0,Facebook,average taste could better,0.4404,Positive
U1033,45-54,Female,Brampton,Low,Lunch,Palak Paneer,Protein,10,77.4,"Average taste, could be better.",4.3,Walmart Online,average taste could better,0.4404,Positive
U1034,65+,Male,Windsor,Medium,Breakfast,Masala Dosa,Spices,9,82.39,Too spicy for me.,1.2,Facebook,spicy,0.0,Negative
U1035,65+,Male,Windsor,High,Lunch,Rajma Chawal,Grains,9,137.64,"Great recipe, easy to follow.",4.8,YouTube,great recipe easy follow,0.7906,Positive
U1036,65+,Other,Toronto,Medium,Lunch,Dal Makhani,Spices,8,178.96,"Average taste, could be better.",1.2,Pinterest,average taste could better,0.4404,Positive
U1037,35-44,Female,Windsor,Medium,Snack,Tandoori Chicken,Grains,7,119.92,Too spicy for me.,2.0,YouTube,spicy,0.0,Negative
U1038,45-54,Male,Markham,Medium,Lunch,Butter Chicken,Dairy,6,70.83,"Great recipe, easy to follow.",2.9,Facebook,great recipe easy follow,0.7906,Positive
U1039,45-54,Other,Markham,Low,Snack,Tandoori Chicken,Protein,2,111.66,Tastes just like home cooking.,4.0,Walmart Online,tastes like home cooking,0.3612,Positive
U1040,18-24,Male,Hamilton,Medium,Lunch,Rajma Chawal,Protein,4,78.8,Not authentic enough.,4.8,YouTube,authentic enough,0.0,Negative
U1041,35-44,Male,Toronto,Low,Lunch,Chole Bhature,Protein,10,93.25,Would definitely try again!,2.7,Pinterest,would definitely try,0.4574,Positive
U1042,55-64,Female,Brampton,Medium,Snack,Masala Dosa,Grains,7,107.84,"Average taste, could be better.",4.0,YouTube,average taste could better,0.4404,Positive
U1043,35-44,Female,Ottawa,Low,Snack,Butter Chicken,Spices,6,82.83,Loved the flavor!,3.9,Walmart Online,loved flavor,0.636,Positive
U1044,55-64,Male,Brampton,High,Dinner,Palak Paneer,Grains,9,88.88,Would definitely try again!,3.3,Pinterest,would definitely try,0.4574,Positive
U1045,18-24,Male,London,Medium,Lunch,Samosa,Protein,5,122.98,Tastes just like home cooking.,3.8,Pinterest,tastes like home cooking,0.3612,Positive
U1046,25-34,Female,Markham,Low,Snack,Masala Dosa,Protein,6,128.6,"Great recipe, easy to follow.",1.2,Walmart Online,great recipe easy follow,0.7906,Positive
U1047,45-54,Other,Mississauga,Medium,Lunch,Paneer Tikka,Protein,10,63.04,"Average taste, could be better.",2.8,Instagram,average taste could better,0.4404,Positive
U1048,18-24,Female,Mississauga,Low,Lunch,Samosa,Protein,6,135.86,Delicious and quick to make!,4.1,Amazon Fresh,delicious quick make,0.6114,Positive
U1049,45-54,Male,Markham,Medium,Lunch,Dal Makhani,Dairy,8,104.72,"Great recipe, easy to follow.",2.9,Walmart Online,great recipe easy follow,0.7906,Positive
U1050,65+,Other,London,Medium,Breakfast,Palak Paneer,Protein,8,148.81,"Great recipe, easy to follow.",4.5,Facebook,great recipe easy follow,0.7906,Positive
U1051,25-34,Male,Mississauga,Low,Dinner,Dal Makhani,Grains,6,151.22,Too spicy for me.,4.3,YouTube,spicy,0.0,Negative
U1052,25-34,Other,Windsor,Low,Breakfast,Tandoori Chicken,Protein,8,98.22,Would definitely try again!,4.5,Instagram,would definitely try,0.4574,Positive
U1053,18-24,Male,Markham,Medium,Dinner,Chole Bhature,Vegetables,7,144.57,Delicious and quick to make!,1.5,Walmart Online,delicious quick make,0.6114,Positive
U1054,25-34,Other,Mississauga,Low,Lunch,Tandoori Chicken,Dairy,1,86.52,"Average taste, could be better.",2.0,Amazon Fresh,average taste could better,0.4404,Positive
U1055,55-64,Other,Markham,Medium,Lunch,Chole Bhature,Protein,5,172.95,"Great recipe, easy to follow.",1.1,Pinterest,great recipe easy follow,0.7906,Positive
U1056,25-34,Male,Hamilton,Medium,Snack,Biryani,Vegetables,10,88.03,Not authentic enough.,4.9,Facebook,authentic enough,0.0,Negative
U1057,45-54,Other,Ottawa,Medium,Dinner,Biryani,Grains,10,134.11,Tastes just like home cooking.,1.9,Amazon Fresh,tastes like home cooking,0.3612,Positive
U1058,45-54,Female,Ottawa,Medium,Dinner,Dal Makhani,Dairy,10,112.5,"Great recipe, easy to follow.",2.5,Amazon Fresh,great recipe easy follow,0.7906,Positive
U1059,45-54,Male,Brampton,Medium,Breakfast,Paneer Tikka,Protein,5,79.32,"Average taste, could be better.",2.1,Facebook,average taste could better,0.4404,Positive
U1060,45-54,Female,London,High,Dinner,Dal Makhani,Grains,10,156.04,Delicious and quick to make!,1.2,Walmart Online,delicious quick make,0.6114,Positive
U1061,55-64,Male,Markham,Low,Lunch,Biryani,Vegetables,9,95.43,Would definitely try again!,2.0,Pinterest,would definitely try,0.4574,Positive
U1062,35-44,Other,Toronto,Low,Snack,Samosa,Dairy,7,52.0,"Great recipe, easy to follow.",1.4,Pinterest,great recipe easy follow,0.7906,Positive
U1063,65+,Other,Brampton,Low,Breakfast,Samosa,Protein,7,20.0,"Great recipe, easy to follow.",2.6,Amazon Fresh,great recipe easy follow,0.7906,Positive
U1064,18-24,Other,Brampton,Low,Snack,Paneer Tikka,Grains,10,85.0,Loved the flavor!,4.9,Walmart Online,loved flavor,0.636,Positive
U1065,45-54,Male,Markham,Low,Dinner,Paneer Tikka,Dairy,2,175.04,"Great recipe, easy to follow.",3.8,Pinterest,great recipe easy follow,0.7906,Positive
U1066,25-34,Female,Markham,Medium,Dinner,Paneer Tikka,Vegetables,8,170.31,Would definitely try again!,3.8,Pinterest,would definitely try,0.4574,Positive
U1067,45-54,Female,Brampton,Medium,Breakfast,Dal Makhani,Protein,3,91.26,Tastes just like home cooking.,2.8,YouTube,tastes like home cooking,0.3612,Positive
U1068,25-34,Male,Brampton,High,Dinner,Palak Paneer,Dairy,9,105.02,Loved the flavor!,4.2,Amazon Fresh,loved flavor,0.636,Positive
U1069,65+,Male,Ottawa,Low,Snack,Rajma Chawal,Vegetables,6,101.4,Loved the flavor!,4.6,Instagram,loved flavor,0.636,Positive
U1070,65+,Female,Toronto,Medium,Lunch,Butter Chicken,Vegetables,9,66.66,"Great recipe, easy to follow.",4.8,Amazon Fresh,great recipe easy follow,0.7906,Positive
U1071,65+,Female,Windsor,High,Breakfast,Paneer Tikka,Grains,9,82.05,"Great recipe, easy to follow.",1.4,Walmart Online,great recipe easy follow,0.7906,Positive
U1072,25-34,Female,Brampton,High,Dinner,Butter Chicken,Vegetables,7,159.25,Not authentic enough.,4.5,Facebook,authentic enough,0.0,Negative
U1073,45-54,Female,Windsor,Medium,Snack,Palak Paneer,Vegetables,10,140.16,"Average taste, could be better.",1.9,Facebook,average taste could better,0.4404,Positive
U1074,65+,Male,Ottawa,Medium,Lunch,Rajma Chawal,Spices,8,130.92,"Average taste, could be better.",2.6,Pinterest,average taste could better,0.4404,Positive
U1075,55-64,Male,Brampton,High,Dinner,Paneer Tikka,Vegetables,2,66.59,Would definitely try again!,2.4,Pinterest,would definitely try,0.4574,Positive
U1076,25-34,Other,Mississauga,Medium,Breakfast,Paneer Tikka,Protein,5,124.03,Tastes just like home cooking.,3.7,YouTube,tastes like home cooking,0.3612,Positive
U1077,25-34,Female,Brampton,Low,Dinner,Paneer Tikka,Dairy,3,27.85,"Average taste, could be better.",3.4,Pinterest,average taste could better,0.4404,Positive
U1078,45-54,Other,Markham,High,Dinner,Samosa,Protein,1,153.71,Would definitely try again!,1.4,Pinterest,would definitely try,0.4574,Positive
U1079,25-34,Male,London,Medium,Dinner,Palak Paneer,Protein,6,130.34,Delicious and quick to make!,4.1,Facebook,delicious quick make,0.6114,Positive
U1080,25-34,Male,London,Low,Lunch,Butter Chicken,Grains,9,66.19,Delicious and quick to make!,2.8,Instagram,delicious quick make,0.6114,Positive
U1081,65+,Other,Brampton,Medium,Lunch,Chole Bhature,Spices,2,184.66,Too spicy for me.,1.0,Amazon Fresh,spicy,0.0,Negative
U1082,45-54,Female,Hamilton,Medium,Dinner,Chole Bhature,Spices,9,48.15,Tastes just like home cooking.,2.7,Pinterest,tastes like home cooking,0.3612,Positive
U1083,65+,Female,Mississauga,High,Dinner,Palak Paneer,Protein,8,141.21,Too spicy for me.,3.1,Walmart Online,spicy,0.0,Negative
U1084,65+,Female,Toronto,Low,Breakfast,Paneer Tikka,Dairy,9,142.21,Would definitely try again!,1.3,Instagram,would definitely try,0.4574,Positive
U1085,45-54,Female,Brampton,High,Dinner,Chole Bhature,Spices,5,70.41,"Great recipe, easy to follow.",1.6,Instagram,great recipe easy follow,0.7906,Positive
U1086,18-24,Other,Windsor,Medium,Snack,Butter Chicken,Spices,2,118.49,Loved the flavor!,5.0,YouTube,loved flavor,0.636,Positive
U1087,65+,Other,Toronto,Medium,Snack,Chole Bhature,Protein,10,54.53,Not authentic enough.,4.5,Walmart Online,authentic enough,0.0,Negative
U1088,55-64,Male,Mississauga,Low,Breakfast,Butter Chicken,Spices,10,20.0,Delicious and quick to make!,1.5,Instagram,delicious quick make,0.6114,Positive
U1089,55-64,Female,Brampton,Medium,Lunch,Paneer Tikka,Grains,6,77.28,"Great recipe, easy to follow.",3.3,Amazon Fresh,great recipe easy follow,0.7906,Positive
U1090,25-34,Female,Hamilton,High,Dinner,Paneer Tikka,Protein,7,95.34,Tastes just like home cooking.,2.5,Walmart Online,tastes like home cooking,0.3612,Positive
U1091,55-64,Female,Ottawa,Medium,Breakfast,Dal Makhani,Spices,3,145.77,Delicious and quick to make!,3.2,Amazon Fresh,delicious quick make,0.6114,Positive
U1092,25-34,Other,Hamilton,Low,Lunch,Biryani,Spices,6,122.7,Tastes just like home cooking.,2.9,YouTube,tastes like home cooking,0.3612,Positive
U1093,18-24,Female,Markham,Medium,Breakfast,Samosa,Spices,6,123.74,Loved the flavor!,1.2,YouTube,loved flavor,0.636,Positive
U1094,45-54,Other,Hamilton,Medium,Lunch,Rajma Chawal,Protein,8,79.42,Tastes just like home cooking.,2.3,Pinterest,tastes like home cooking,0.3612,Positive
U1095,45-54,Female,Windsor,Low,Dinner,Rajma Chawal,Dairy,1,98.8,Would definitely try again!,1.5,Amazon Fresh,would definitely try,0.4574,Positive
U1096,45-54,Female,Ottawa,Medium,Breakfast,Tandoori Chicken,Vegetables,4,82.8,"Average taste, could be better.",3.0,Facebook,average taste could better,0.4404,Positive
U1097,55-64,Male,Markham,Medium,Dinner,Samosa,Spices,1,71.0,Tastes just like home cooking.,4.6,Amazon Fresh,tastes like home cooking,0.3612,Positive
U1098,18-24,Female,Ottawa,Medium,Breakfast,Paneer Tikka,Vegetables,8,96.25,"Great recipe, easy to follow.",5.0,YouTube,great recipe easy follow,0.7906,Positive
U1099,55-64,Female,London,Medium,Lunch,Rajma Chawal,Vegetables,2,122.98,Tastes just like home cooking.,4.8,Facebook,tastes like home cooking,0.3612,Positive
U1100,55-64,Male,Ottawa,Low,Breakfast,Butter Chicken,Spices,8,97.09,Not authentic enough.,4.9,Amazon Fresh,authentic enough,0.0,Negative
U1101,18-24,Other,Brampton,Medium,Snack,Tandoori Chicken,Spices,3,107.06,"Average taste, could be better.",1.1,Walmart Online,average taste could better,0.4404,Positive
U1102,18-24,Other,Toronto,Medium,Snack,Chole Bhature,Vegetables,8,147.8,Tastes just like home cooking.,3.9,Pinterest,tastes like home cooking,0.3612,Positive
U1103,18-24,Female,London,Medium,Breakfast,Chole Bhature,Dairy,6,99.97,"Average taste, could be better.",2.1,Pinterest,average taste could better,0.4404,Positive
U1104,18-24,Other,London,Medium,Snack,Tandoori Chicken,Vegetables,1,66.64,Too spicy for me.,4.5,Walmart Online,spicy,0.0,Negative
U1105,45-54,Female,Toronto,Low,Dinner,Biryani,Dairy,7,142.54,Loved the flavor!,4.3,Instagram,loved flavor,0.636,Positive
U1106,35-44,Male,Windsor,High,Snack,Masala Dosa,Grains,7,130.63,"Great recipe, easy to follow.",2.7,Facebook,great recipe easy follow,0.7906,Positive
U1107,35-44,Male,London,Medium,Snack,Butter Chicken,Dairy,6,133.15,Not authentic enough.,2.9,Facebook,authentic enough,0.0,Negative
U1108,18-24,Female,Ottawa,Medium,Dinner,Rajma Chawal,Protein,1,145.03,"Great recipe, easy to follow.",2.1,Amazon Fresh,great recipe easy follow,0.7906,Positive
U1109,35-44,Male,Hamilton,Medium,Dinner,Biryani,Spices,5,138.27,Would definitely try again!,2.2,Instagram,would definitely try,0.4574,Positive
U1110,35-44,Male,Mississauga,Medium,Lunch,Butter Chicken,Grains,1,121.15,Loved the flavor!,4.9,Instagram,loved flavor,0.636,Positive
U1111,18-24,Female,Windsor,Low,Dinner,Dal Makhani,Vegetables,1,215.66,Delicious and quick to make!,4.6,Amazon Fresh,delicious quick make,0.6114,Positive
U1112,35-44,Female,Ottawa,Low,Breakfast,Rajma Chawal,Dairy,6,68.6,Would definitely try again!,1.8,Facebook,would definitely try,0.4574,Positive
U1113,55-64,Male,Markham,Low,Snack,Dal Makhani,Grains,8,96.54,Delicious and quick to make!,2.1,YouTube,delicious quick make,0.6114,Positive
U1114,25-34,Other,Markham,Medium,Lunch,Paneer Tikka,Protein,1,158.69,Tastes just like home cooking.,1.4,Amazon Fresh,tastes like home cooking,0.3612,Positive
U1115,25-34,Other,Hamilton,Low,Dinner,Samosa,Dairy,2,125.7,Would definitely try again!,5.0,YouTube,would definitely try,0.4574,Positive
U1116,18-24,Female,Windsor,Low,Snack,Paneer Tikka,Vegetables,5,150.32,Tastes just like home cooking.,4.6,Walmart Online,tastes like home cooking,0.3612,Positive
U1117,45-54,Female,Windsor,Medium,Breakfast,Chole Bhature,Vegetables,8,126.79,Too spicy for me.,3.2,YouTube,spicy,0.0,Negative
U1118,18-24,Other,Hamilton,Low,Breakfast,Biryani,Dairy,4,174.96,Would definitely try again!,3.8,Instagram,would definitely try,0.4574,Positive
U1119,45-54,Male,Windsor,Medium,Lunch,Tandoori Chicken,Protein,5,79.7,Delicious and quick to make!,4.0,Instagram,delicious quick make,0.6114,Positive
U1120,25-34,Other,London,Medium,Breakfast,Paneer Tikka,Spices,10,173.7,Not authentic enough.,1.8,Instagram,authentic enough,0.0,Negative
U1121,18-24,Other,Brampton,Low,Snack,Biryani,Spices,5,166.84,Delicious and quick to make!,4.7,Facebook,delicious quick make,0.6114,Positive
U1122,65+,Other,Brampton,Medium,Dinner,Palak Paneer,Vegetables,3,71.59,Loved the flavor!,3.1,Facebook,loved flavor,0.636,Positive
U1123,55-64,Other,Windsor,Low,Breakfast,Chole Bhature,Protein,6,145.23,Too spicy for me.,1.4,YouTube,spicy,0.0,Negative
U1124,35-44,Female,London,High,Dinner,Rajma Chawal,Vegetables,5,118.28,"Average taste, could be better.",2.6,Instagram,average taste could better,0.4404,Positive
U1125,45-54,Female,London,Medium,Snack,Biryani,Spices,2,95.74,"Great recipe, easy to follow.",3.4,Pinterest,great recipe easy follow,0.7906,Positive
U1126,65+,Male,Toronto,Low,Snack,Butter Chicken,Vegetables,10,44.46,Would definitely try again!,2.4,Amazon Fresh,would definitely try,0.4574,Positive
U1127,35-44,Male,Toronto,Low,Dinner,Rajma Chawal,Dairy,4,79.57,"Great recipe, easy to follow.",3.8,Instagram,great recipe easy follow,0.7906,Positive
U1128,35-44,Male,Mississauga,Medium,Snack,Chole Bhature,Dairy,4,148.32,Too spicy for me.,4.5,Facebook,spicy,0.0,Negative
U1129,18-24,Male,Mississauga,Low,Lunch,Paneer Tikka,Protein,7,152.55,"Great recipe, easy to follow.",4.1,YouTube,great recipe easy follow,0.7906,Positive
U1130,35-44,Other,Mississauga,Low,Breakfast,Palak Paneer,Spices,7,111.57,Not authentic enough.,3.6,Instagram,authentic enough,0.0,Negative
U1131,55-64,Female,Mississauga,Medium,Lunch,Dal Makhani,Protein,9,152.68,Too spicy for me.,3.0,YouTube,spicy,0.0,Negative
U1132,65+,Female,Hamilton,High,Lunch,Masala Dosa,Protein,10,157.81,Loved the flavor!,2.0,Amazon Fresh,loved flavor,0.636,Positive
U1133,35-44,Male,Hamilton,Medium,Lunch,Rajma Chawal,Spices,2,126.19,Loved the flavor!,2.8,YouTube,loved flavor,0.636,Positive
U1134,18-24,Male,Toronto,Medium,Dinner,Rajma Chawal,Grains,6,91.11,Delicious and quick to make!,2.2,Amazon Fresh,delicious quick make,0.6114,Positive
U1135,55-64,Other,Brampton,High,Dinner,Tandoori Chicken,Grains,2,137.64,"Average taste, could be better.",4.7,Instagram,average taste could better,0.4404,Positive
U1136,25-34,Other,London,Low,Snack,Paneer Tikka,Vegetables,9,139.48,Loved the flavor!,4.6,Facebook,loved flavor,0.636,Positive
U1137,65+,Male,Markham,High,Dinner,Rajma Chawal,Grains,2,146.96,Loved the flavor!,1.6,Pinterest,loved flavor,0.636,Positive
U1138,35-44,Female,Brampton,Medium,Snack,Tandoori Chicken,Dairy,6,154.62,Too spicy for me.,4.3,Instagram,spicy,0.0,Negative
U1139,18-24,Female,Ottawa,Medium,Dinner,Chole Bhature,Protein,8,65.51,Too spicy for me.,3.8,Amazon Fresh,spicy,0.0,Negative
U1140,25-34,Female,Hamilton,High,Snack,Rajma Chawal,Vegetables,6,99.6,Tastes just like home cooking.,4.9,Facebook,tastes like home cooking,0.3612,Positive
U1141,25-34,Male,Mississauga,Low,Breakfast,Palak Paneer,Protein,3,44.06,Too spicy for me.,2.9,Walmart Online,spicy,0.0,Negative
U1142,45-54,Female,Mississauga,Low,Snack,Butter Chicken,Spices,5,149.88,Would definitely try again!,3.9,Walmart Online,would definitely try,0.4574,Positive
U1143,55-64,Other,Ottawa,Medium,Breakfast,Masala Dosa,Grains,4,111.51,Tastes just like home cooking.,3.1,Walmart Online,tastes like home cooking,0.3612,Positive
U1144,35-44,Other,Brampton,Medium,Snack,Chole Bhature,Spices,1,137.23,Delicious and quick to make!,1.3,Instagram,delicious quick make,0.6114,Positive
U1145,18-24,Male,Mississauga,Medium,Dinner,Dal Makhani,Vegetables,5,60.97,Delicious and quick to make!,1.2,YouTube,delicious quick make,0.6114,Positive
U1146,45-54,Other,Brampton,Low,Dinner,Paneer Tikka,Dairy,10,176.04,Too spicy for me.,1.5,Pinterest,spicy,0.0,Negative
U1147,55-64,Male,London,Medium,Breakfast,Paneer Tikka,Grains,5,72.23,Too spicy for me.,2.2,Facebook,spicy,0.0,Negative
U1148,45-54,Female,Ottawa,Medium,Lunch,Paneer Tikka,Spices,7,150.98,"Average taste, could be better.",2.0,Pinterest,average taste could better,0.4404,Positive
U1149,65+,Female,Markham,Medium,Lunch,Palak Paneer,Grains,7,124.72,Too spicy for me.,3.9,Facebook,spicy,0.0,Negative
U1150,55-64,Female,Brampton,High,Snack,Chole Bhature,Protein,2,112.42,Loved the flavor!,3.9,Instagram,loved flavor,0.636,Positive
U1151,55-64,Other,London,Medium,Dinner,Rajma Chawal,Dairy,4,109.19,Not authentic enough.,4.9,Amazon Fresh,authentic enough,0.0,Negative
U1152,35-44,Male,Windsor,Low,Lunch,Palak Paneer,Grains,1,94.48,Delicious and quick to make!,2.2,Instagram,delicious quick make,0.6114,Positive
U1153,55-64,Female,Windsor,Medium,Dinner,Tandoori Chicken,Dairy,5,171.81,Loved the flavor!,4.8,Walmart Online,loved flavor,0.636,Positive
U1154,45-54,Male,Brampton,Medium,Dinner,Paneer Tikka,Protein,5,120.5,Tastes just like home cooking.,3.5,Amazon Fresh,tastes like home cooking,0.3612,Positive
U1155,55-64,Female,Windsor,Low,Dinner,Dal Makhani,Protein,4,69.23,"Average taste, could be better.",3.0,Pinterest,average taste could better,0.4404,Positive
U1156,35-44,Other,Brampton,Low,Snack,Tandoori Chicken,Spices,10,104.64,Not authentic enough.,3.7,Instagram,authentic enough,0.0,Negative
U1157,35-44,Other,Mississauga,High,Breakfast,Masala Dosa,Vegetables,7,125.13,"Average taste, could be better.",3.8,YouTube,average taste could better,0.4404,Positive
U1158,65+,Male,Toronto,High,Snack,Rajma Chawal,Spices,6,155.91,Not authentic enough.,1.7,YouTube,authentic enough,0.0,Negative
U1159,45-54,Other,Windsor,Medium,Lunch,Rajma Chawal,Dairy,10,95.82,"Average taste, could be better.",4.0,Pinterest,average taste could better,0.4404,Positive
U1160,25-34,Other,Hamilton,Low,Breakfast,Biryani,Spices,3,98.49,Not authentic enough.,3.9,Amazon Fresh,authentic enough,0.0,Negative
U1161,25-34,Male,Brampton,High,Lunch,Dal Makhani,Grains,2,120.94,"Average taste, could be better.",5.0,Walmart Online,average taste could better,0.4404,Positive
U1162,55-64,Female,Brampton,High,Breakfast,Palak Paneer,Spices,4,154.94,Tastes just like home cooking.,4.6,YouTube,tastes like home cooking,0.3612,Positive
U1163,65+,Other,Brampton,Medium,Breakfast,Palak Paneer,Vegetables,9,65.25,Tastes just like home cooking.,3.7,YouTube,tastes like home cooking,0.3612,Positive
U1164,18-24,Male,Toronto,High,Snack,Samosa,Vegetables,10,140.21,Loved the flavor!,3.8,Instagram,loved flavor,0.636,Positive
U1165,55-64,Other,London,High,Dinner,Masala Dosa,Dairy,5,101.44,Would definitely try again!,4.8,Facebook,would definitely try,0.4574,Positive
U1166,65+,Other,Windsor,High,Dinner,Paneer Tikka,Protein,1,107.02,"Average taste, could be better.",4.9,Pinterest,average taste could better,0.4404,Positive
U1167,45-54,Other,Markham,High,Breakfast,Biryani,Vegetables,3,200.06,"Great recipe, easy to follow.",4.3,YouTube,great recipe easy follow,0.7906,Positive
U1168,45-54,Other,Markham,Medium,Snack,Tandoori Chicken,Dairy,9,112.14,Delicious and quick to make!,4.1,Instagram,delicious quick make,0.6114,Positive
U1169,45-54,Male,Ottawa,Medium,Lunch,Rajma Chawal,Vegetables,7,150.19,Would definitely try again!,1.4,Amazon Fresh,would definitely try,0.4574,Positive
U1170,45-54,Male,Mississauga,Medium,Lunch,Samosa,Vegetables,3,148.76,Loved the flavor!,4.3,Facebook,loved flavor,0.636,Positive
U1171,45-54,Male,Toronto,Medium,Dinner,Samosa,Protein,1,72.8,Not authentic enough.,2.0,YouTube,authentic enough,0.0,Negative
U1172,65+,Other,London,Medium,Dinner,Masala Dosa,Grains,4,46.18,"Great recipe, easy to follow.",3.3,Pinterest,great recipe easy follow,0.7906,Positive
U1173,65+,Other,Brampton,High,Lunch,Butter Chicken,Dairy,9,152.84,Would definitely try again!,2.6,Instagram,would definitely try,0.4574,Positive
U1174,35-44,Other,London,Medium,Lunch,Rajma Chawal,Vegetables,7,76.66,"Average taste, could be better.",2.4,Amazon Fresh,average taste could better,0.4404,Positive
